Ticket Number,Project,Category,Severity,Priority,Task Type,Status,Ticket Owner,Assigned To,Summary,Date Submitted,Status Updated,Resolution Date,Target Date,Track Time,Latest Comments
T02137,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,High,Bug,Resolved,Vig,Vig,LMS application issue after ALB implemented,22-10-2024 14:49,05-03-2025 16:20,22-10-2024 16:20,23-10-2024 06:49,108 D,Added an explicit same machine Key element to the application's Web.config files for both application servers.
T02097,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Query,Resolved,Vig,Vig,LMS user not able to navigate application page,14-10-2024 22:25,05-03-2025 16:19,14-10-2024 16:19,21-10-2024 14:25,114 D,"Analyzed User account have sufficient permission in the system,so asked him to check from different browser(chrome), the page working for his login.confirmed that issue/query resolved."
T02040,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,High,Bug,Resolved,Vig,Vig,LMS Down,03-10-2024 12:20,05-03-2025 16:19,03-10-2024 16:19,04-10-2024 04:20,121 D,"AFM helped restart the app server successfully and
 application came up online, we are working with AFM to find the root cause."
T01932,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Medium,General,Resolved,Abdul,Abdul,READ ONLY Access User Creation for Oracle DB,19-09-2024 15:53,05-03-2025 16:18,07-10-2024 16:18,26-09-2024 07:53,129 D,
T01930,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,High,General,Resolved,Abdul,Abdul,DB Access - To Create new user,19-09-2024 15:00,05-03-2025 16:18,19-09-2024 16:18,26-09-2024 07:00,129 D,
T01881,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,General,Resolved,Vig,Vig,[LMS] IMMEDIATE - Vulnerabilities to be addressed,13-09-2024 18:06,05-03-2025 16:16,26-09-2024 16:16,20-09-2024 10:06,130 D,Action plan shared for the 2 Vulnerabilities.
T01880,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Service Request,Resolved,Vig,Vig,LMS - GOW ADFS Implementation,13-09-2024 18:00,05-03-2025 16:14,03-03-2025 16:14,20-09-2024 10:00,130 D,User confirmed that to close the ticket for now. Can create a new ticket if needed in future.
T01783,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Query,Resolved,Vig,Vig,LMS - SMS not received for visitor entry,03-09-2024 12:09,05-03-2025 16:11,03-09-2024 16:11,10-09-2024 04:09,138 D,Provided the clarification and confirmed to close the ticket.
T01752,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,High,Bug,Resolved,Vig,Vig,Visitor Admission Work Request Error,26-08-2024 10:59,05-03-2025 16:10,26-08-2024 16:10,02-09-2024 02:59,144 D,"Found the root cause, there are some conflict in UAT and PROD sp_visitorAdmissionRequest_GetCount Store procedure. updated the PROD as like UAT and the issue fixed."
T01613,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,General,Resolved,Vig,Vig,LMS -ABLR - Data Source Logging Auditing configuration,19-07-2024 11:18,05-03-2025 16:05,13-09-2024 16:05,26-07-2024 03:18,167 D,As requested by Users this ticket was hold and confirmed to close this ticket.
T01609,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Bug,Resolved,Vig,Vig,ALB(Application Load Balancer) is not working in production for LMS application,18-07-2024 10:18,05-03-2025 16:05,22-01-2025 16:05,25-07-2024 02:18,168 D,"Users agreed to close the ticket after PMO email.As
 discussed yesterday, we would close this ticket from our side since there is no
 change required from TeBS. SLA as mentioned not-applicable. 
 
 
 
 Reason is
 highlighted below by Vignesh."
T01600,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,General,Resolved,Shahid Bin Rahim,Abdul,FW: LMS findings - Jul 2024,16-07-2024 12:10,22-01-2025 16:07,16-07-2024 16:07,23-07-2024 04:10,170 D,
T01577,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Bug,Resolved,Vig,Vig,Visitor Admin Page Error in UAT,11-07-2024 10:24,17-07-2024 18:01,17-07-2024 18:01,18-07-2024 02:24,173 D,LMS application UAT business logic and data logic libraries are not synced with latest source code.
T01532,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,High,Bug,Resolved,Vig,Vig,LMS - Vistor/MP/Staff Logging issue,02-07-2024 12:22,17-07-2024 18:02,29-06-2024 18:02,03-07-2024 04:22,177 D,"The issue occurred due to a new ACL rule implemented in the production environment, after removed the ACL rule, VMS started working as normal"
T01531,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,High,Bug,Resolved,Vig,Vig,LMS AppSMS Not working,02-07-2024 10:29,30-08-2024 17:31,28-08-2024 17:31,09-07-2024 02:29,177 D,Issue fixed and tested in production
T05008,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Low,Test Tracker,Reopened,Raj,Anand,Users are experiencing difficulty logging in to the LMS due to a constant error message.,02-03-2025 03:24,22-05-2025 22:32,24-05-2025 18:34,20-06-2025 12:18,1 D,"After conducting a thorough analysis, we identified that the root cause of the issue was a misconfigured firewall setting in the production environment. This misconfiguration was causing certain network traffic to be blocked, resulting in the connectivity issues reported. 

To resolve this issue, we updated the firewall rules to allow the necessary network traffic to pass through without any restrictions. Additionally, we conducted extensive testing in the user acceptance testing (UAT) environment to ensure that the changes did not impact any other systems or functionalities. 

After applying the fix, we monitored the production environment closely and verified that the issue has been fully resolved. The connectivity issues should no longer persist, and all systems should be functioning as expected. 

Fix applied and verified in PROD."
T05005,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Test Tracker,Reopened,Tan,Ali,"""Printer Malfunction in Conference Room""",28-12-2024 06:38,20-05-2025 01:17,19-05-2025 08:02,22-06-2025 12:18,45 D,"After conducting a thorough investigation into the reported issue with the module X, it was determined that the root cause was a misconfiguration in the data mapping process. This misconfiguration was causing incorrect data to be inputted into the system, leading to the unexpected behavior experienced by the end user. 

To resolve this issue, the configuration settings for module X were reviewed and updated to ensure that the data mapping process aligns correctly with the system requirements. Additionally, a validation check was implemented to verify the accuracy of the data being inputted into the system. These changes were tested in the UAT environment and successfully replicated the reported issue, confirming that the resolution steps were effective.

The fix has been applied and verified in the production environment, and the reported issue with module X should no longer persist. If any further issues arise, please do not hesitate to open a new support ticket for assistance. Thank you for your patience and understanding. Fix applied and verified in PROD."
T05003,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Low,Support,Closed,Lebron,Chong,Users are experiencing difficulty accessing course materials on the LMS platform.,18-12-2024 06:52,18-05-2025 01:18,21-05-2025 12:07,12-06-2025 12:18,7 D,"After further investigation, we identified the root cause of the issue to be a misconfiguration in the database module. The incorrect database connection parameters were causing errors in retrieving the necessary data for the application to function properly. To resolve this issue, we reconfigured the database module with the correct connection parameters and tested the application in the UAT environment.

Additionally, we discovered a bug in the code logic that was not handling certain edge cases properly, leading to unexpected behavior in the application. We addressed this by implementing a fix in the code logic to handle these edge cases more effectively. This fix was then validated in the UAT environment to ensure that the application now functions as intended.

Finally, we verified that the changes made to the database module and code logic were successfully applied in the production environment. The application has been tested thoroughly in the production environment, and we can confirm that the issue is now resolved. Thank you for your patience and understanding as we worked to address this issue. Fix applied and verified in PROD."
T05007,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,High,Incident,New,Siti,Anand,Ticket Summary: Software malfunction causing system crashes and data loss.,12-12-2024 20:17,24-05-2025 02:00,24-05-2025 12:33,30-05-2025 12:18,3 D,"After conducting a thorough investigation into the reported issue, it was identified that the root cause of the problem stemmed from a misconfigured firewall rule within the network module. This misconfiguration was causing communication errors between the users' devices and the server, resulting in the inability to access the necessary resources. 

To address this issue, the network team reconfigured the firewall rule to allow proper communication between the devices and the server. Additionally, a full system check was conducted to ensure that all other network configurations were functioning correctly. 

After implementing the necessary changes, the resolution was successfully deployed and verified in the production environment. Users are now able to access the required resources without any further issues. Thank you for your patience and understanding throughout this process. Fix applied and verified in PROD."
T05006,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,Low,Enhancement,In Progress,Chong,,"Ticket Summary: User experiencing software malfunction, unable to open application or access key features.",29-04-2025 15:57,19-05-2025 03:19,21-05-2025 02:03,19-06-2025 12:18,30 D,"After conducting a thorough technical analysis, it was determined that the root cause of the issue lies within the configuration settings of the database module. Upon further investigation, it was discovered that a misconfiguration in the database connection string was causing the application to fail when attempting to retrieve data from the database. The incorrect format of the connection string was preventing the application from establishing a proper connection with the database server in the production environment.

To resolve this issue, the database connection string was updated with the correct configuration parameters. After applying the necessary changes, the application was successfully able to connect to the database server and retrieve the required data without any errors. Subsequent testing in the UAT environment confirmed that the issue has been fully resolved and the application is now functioning as expected.

The fix has been applied and verified in the production environment. The application is now running smoothly without any further issues related to the database connectivity. Thank you for your patience and cooperation throughout this troubleshooting process."
T05002,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,High,Bug,Resolved,Chong,,Network connectivity problems impacting user access to applications and data.,19-04-2025 00:26,20-05-2025 16:26,21-05-2025 10:40,08-06-2025 12:18,7 D,"After conducting a thorough analysis, we identified that the issue was caused by a misconfigured firewall setting in the network module of the server. This misconfiguration was blocking the communication between the application server and the database server, leading to the connectivity issues reported. To address this issue, we adjusted the firewall settings to allow the necessary traffic to pass through, restoring the connection between the servers.

Furthermore, upon further investigation, it was discovered that the root cause of the misconfigured firewall setting was due to a recent update in the network configuration file. This update inadvertently changed the default settings, causing the communication disruption. Moving forward, we have implemented stricter change control procedures to prevent similar incidents from occurring in the future.

Finally, the resolution steps were successfully tested in the UAT environment before being applied to production. The changes were then implemented in the production environment and verified to ensure that the connectivity issues were fully resolved. The fix has been applied and verified in PROD, and we consider this ticket now closed. Thank you for your patience and cooperation throughout this process."
T05001,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Medium,General,Resolved,Siti,Anand,Ticket Summary: Software malfunction causing system crashes and data loss.,22-04-2025 09:35,24-05-2025 17:20,25-05-2025 13:05,28-05-2025 12:18,15 D,"After investigating the issue, it was determined that the root cause of the recurring system error was a misconfigured firewall rule that was blocking the communication between the application server and the database server in the production environment. The firewall rule was incorrectly set to only allow traffic on a specific port, causing the intermittent connection failures reported by users. 

To resolve the issue, the firewall rule was updated to allow traffic on the necessary ports for the application server to communicate with the database server. Additionally, a thorough code review was conducted to ensure there were no hardcoded IP addresses or ports in the application code that could potentially cause similar issues in the future. 

The changes were successfully implemented in the production environment after thorough testing in the UAT environment to ensure that the issue was fully resolved. The application has been monitored closely post-implementation, and no further incidents of the error have been reported. The ticket is now closed, with the fix confirmed and verified in the production environment."
T05009,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,Medium,Change Request,Reopened,Siti,Ali,Network connectivity problems causing loss of productivity and data access.,03-04-2025 00:29,25-05-2025 04:48,19-05-2025 00:49,18-06-2025 12:18,1 D,"After conducting a thorough investigation, it was determined that the root cause of the issue was due to a misconfiguration in the network module. Specifically, there was a discrepancy in the firewall settings which was blocking the communication between the server and the client machines. 

To resolve this issue, the network configuration was updated to allow the necessary traffic to pass through the firewall. Additionally, a firewall rule was created to specifically allow the communication between the server and the client machines in order to prevent any future disruptions. 

After applying the necessary changes, the resolution was successfully tested in the UAT environment to ensure that the issue has been fully resolved. The fix was then applied and verified in the PROD environment to confirm that the issue is no longer present. 

Fix applied and verified in PROD."
T05004,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,Medium,SIT Testing,Resolved,Ali,Siti,Network connectivity problem causing disruption in accessing internet and internal services.,15-03-2025 03:25,21-05-2025 17:51,26-05-2025 06:46,28-05-2025 12:18,45 D,"After thorough investigation, it was determined that the issue was caused by a misconfiguration in the network settings of the database module. The root cause of the problem was traced back to an incorrect IP address specified in the database connection string, which was preventing the application from establishing a connection to the database server in the production environment. 

To resolve the issue, the database configuration was updated with the correct IP address of the database server in the production environment. After applying the configuration changes, the application was successfully able to establish a connection to the database server and retrieve the necessary data for the module in question. 

The changes have been verified in the production environment and the issue has been resolved. Moving forward, it is recommended to double-check all network configurations to ensure accurate and up-to-date information is being used. Thank you for your patience and cooperation. Fix applied and verified in PROD."
T050010,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,High,Internal Products Dev,Closed,Vig,Siti,Network connectivity problem affecting user access and system performance.,02-02-2025 00:41,19-05-2025 23:53,20-05-2025 04:30,06-06-2025 12:18,5 D,"After further investigation, it was determined that the issue stemmed from a misconfiguration in the network module of the affected system. The root cause was identified as a discrepancy in the IP address allocation, causing a disruption in communication between the server and the end-user devices. To address this issue, the network settings were adjusted to ensure proper IP address assignment and routing within the system.

In addition, a thorough review of the server configuration revealed a discrepancy in the firewall settings that was impeding the proper flow of network traffic. The firewall rules were updated to allow for seamless communication between the server and the end-user devices, resolving the connectivity issues that were reported. 

After implementing these changes, thorough testing was conducted in the UAT environment to confirm the resolution of the reported issues. Once the fixes were successfully validated, the changes were then applied to the production environment. The fixes have been applied and verified in PROD, and the ticket is now considered closed. Thank you for your patience."
T050015,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,Low,SIT Testing,In Progress,Anand,Tan,Network connectivity problem causing slow performance and limited access to resources.,08-02-2025 23:21,17-05-2025 12:50,21-05-2025 03:38,29-05-2025 12:18,2 D,"After reviewing the issue reported in the ticket, our team conducted a thorough technical analysis and identified that the root cause of the issue was due to a misconfiguration in the database module. Upon further investigation, it was found that there was a discrepancy in the data mapping logic, which was causing the incorrect data to be displayed in the user interface.

To resolve the issue, our team implemented a code fix to correct the data mapping logic in the database module. This fix was thoroughly tested in both UAT and PROD environments to ensure its effectiveness and stability. After the fix was applied and verified in PROD, the issue was successfully resolved, and the correct data is now being displayed in the user interface as expected.

We appreciate your patience and cooperation throughout this process. Thank you for bringing this issue to our attention, and please feel free to reach out if you encounter any further issues. Fix applied and verified in PROD."
T050014,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 1,Medium,General,Closed,Raj,Vig,"""Slow network connection affecting productivity""",18-04-2025 09:45,19-05-2025 23:28,18-05-2025 16:52,24-06-2025 12:18,3 D,"Upon further investigation, the issue was traced back to a misconfigured firewall rule that was blocking the communication between the application server and the database server. This resulted in the timeout errors experienced by users when trying to access the system. To resolve this, the firewall rule was updated to allow the necessary traffic to pass through successfully.

Additionally, during the troubleshooting process, it was identified that there was a memory leak in the application code that was causing the system to slow down over time. The root cause was found to be a logic flaw in the way certain data was being handled, leading to an excessive consumption of memory resources. The code logic was optimized and the memory leak issue was addressed by implementing proper data cleanup procedures.

After applying the necessary changes and performing thorough testing in the UAT environment, the fix was successfully deployed to the production environment. The application performance has been monitored post-implementation, and there have been no reported issues since the fix was applied and verified in PROD. Thank you for your patience and understanding throughout this process."
T050013,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Medium,Query,New,Raj,Anand,User-reported problem with the LMS: Unable to access course materials or complete assignments due to frequent system crashes.,25-01-2025 04:31,24-05-2025 23:44,21-05-2025 16:00,08-06-2025 12:18,20 D,"After conducting a thorough investigation, we have determined that the issue was caused by a misconfiguration in the database module. The root cause of the problem was traced back to an incorrect data mapping that was affecting the retrieval of information from the database. To resolve this issue, we updated the configuration settings in the database module to ensure that the data mapping was accurate and aligned with the application's requirements. 

Furthermore, during our analysis, we also identified a bug in the code logic that was contributing to the error message being displayed to end users. We made the necessary adjustments to the code to address this issue and prevent similar errors from occurring in the future. Additionally, we conducted thorough testing in both the UAT and PROD environments to validate that the fix was successfully implemented and that all functionalities were working as expected.

In conclusion, the fix has been successfully applied and verified in the PROD environment. If you encounter any further issues, please do not hesitate to open a new ticket for assistance. Thank you for your patience and understanding."
T050018,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Low,Test Tracker,Resolved,Tan,Anand,The user reported that they are unable to access their course materials after logging into the LMS.,24-12-2024 23:46,25-05-2025 18:48,24-05-2025 18:33,09-06-2025 12:18,30 D,"After conducting a thorough investigation, we identified the root cause of the issue to be a misconfiguration in the database module that was causing data inconsistencies. Upon further analysis, we found that a recent code deployment had inadvertently altered the database connection parameters, leading to data corruption in the production environment. 

To rectify this issue, we rolled back the code changes to a previous stable version and restored the database to a backup taken prior to the deployment. We then reconfigured the database module with the correct connection parameters and performed thorough testing in the UAT environment to ensure data integrity. 

The fix has been successfully applied and verified in the production environment. Users should no longer experience any data inconsistencies or errors related to this issue. Thank you for your patience and understanding as we worked to resolve this issue promptly and effectively. Fix applied and verified in PROD."
T050012,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,High,Internal Products Dev,New,Lebron,Chong,User reported that they are unable to access their course materials after logging in to the LMS.,09-03-2025 21:28,24-05-2025 13:42,19-05-2025 17:29,31-05-2025 12:18,45 D,"Upon further investigation, it was determined that the issue stemmed from a misconfigured firewall rule in the network module. The incorrect rule was blocking the necessary communication between the server and the client, resulting in the connectivity issue reported. The root cause analysis also revealed that the firewall configuration was not properly updated during a recent network infrastructure upgrade.

To resolve the issue, the firewall rule was adjusted to allow the required traffic to pass through without any restrictions. A thorough testing process was conducted in the UAT environment to ensure that the changes did not introduce any new issues or conflicts with existing configurations. Once the testing was successfully completed, the fix was applied to the production environment.

The fix has been implemented and verified in the production environment. Users should now be able to access the server without any connectivity issues. If any further problems arise, please feel free to open a new ticket for assistance. Thank you for your patience and understanding."
T050011,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Medium,Enhancement,Closed,Raj,Ali,Network connectivity problems causing user disruption and productivity losses.,02-05-2025 17:52,23-05-2025 18:21,25-05-2025 20:35,23-06-2025 12:18,3 D,"After conducting a thorough investigation, we have identified that the error was caused by a misconfiguration in the authentication module. The root cause of the issue was due to outdated credentials being stored in the system, which led to the login failure experienced by the user. To resolve this, we updated the authentication configuration to use the correct credentials and performed testing in our UAT environment to ensure the issue was resolved.

Furthermore, we also discovered a bug in the code logic that was preventing the system from properly validating user credentials. This bug was identified and fixed by updating the relevant code snippets in the authentication module. Following the code fix, we conducted extensive testing in our UAT environment to confirm that the login functionality was working as expected.

Lastly, we have verified that the fix has been successfully applied and tested in our PROD environment. The login issue has been resolved, and users should no longer encounter any difficulties when attempting to access the system. Thank you for your patience, and please do not hesitate to reach out if you encounter any further issues. Fix applied and verified in PROD."
T050016,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Low,Internal Products Dev,In Progress,Siti,Chong,Ticket Summary: Software malfunction causing system crashes and errors.,09-03-2025 14:46,22-05-2025 22:27,21-05-2025 09:46,22-06-2025 12:18,30 D,"Upon investigation, it was identified that the issue stemmed from a misconfiguration in the database module of the application. The root cause of the issue was traced back to a recent update that inadvertently changed the database connection settings, causing the application to fail in fetching the required data. To resolve this issue, the database configuration settings were reverted to their previous state, ensuring that the application can now successfully establish a connection to the database.

Furthermore, a thorough testing process was conducted in both UAT and PROD environments to validate the fix. In UAT, the application was tested with simulated user scenarios to ensure that the data retrieval functionality was restored. Subsequently, the fix was applied in the PROD environment, where it was again tested to confirm that the issue was fully resolved. After thorough testing, it has been verified that the fix has been successfully implemented and is functioning as expected in the PROD environment.

In conclusion, the database configuration settings have been corrected, and the application is now able to retrieve data without any issues. The fix has been applied and verified in the PROD environment, ensuring that users can now access the required data seamlessly. Thank you for your patience and cooperation throughout this process."
T050017,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Low,Enhancement,In Progress,Anand,Chong,"""Network Connectivity Issue""",18-12-2024 08:59,19-05-2025 23:04,19-05-2025 15:01,22-06-2025 12:18,20 D,"Upon further investigation, the issue was found to be caused by a misconfigured network firewall rule that was blocking communication between the server and the client machines. The root cause was traced back to a recent firewall configuration update that inadvertently blocked the necessary ports for the application to function properly. To resolve this issue, the firewall rule was adjusted to allow traffic on the required ports (TCP 8080 and UDP 123) for the application to communicate successfully.

After making the necessary changes to the firewall configuration, a series of tests were conducted in both UAT and PROD environments to ensure that the issue was fully resolved. The application was successfully able to establish connections and transmit data without any further disruptions. Additionally, monitoring tools were implemented to track any future changes to the firewall rules and ensure that similar issues do not occur again.

In conclusion, the firewall rule configuration has been updated to allow proper communication between the server and client machines, resolving the connectivity issue that was impacting the application. The fix has been applied and verified in the PROD environment to confirm that the issue has been fully resolved. Thank you for your attention to this matter."
T050019,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,High,General,On Hold,Chong,Anand,Network connectivity problems causing disruptions in productivity and communication.,25-02-2025 03:44,18-05-2025 17:09,24-05-2025 11:19,29-05-2025 12:18,30 D,"After conducting a thorough technical analysis, it was identified that the issue was caused by a misconfiguration in the database module. The root cause was traced back to a recent update in the database schema that had not been properly reflected in the application's configuration settings. This led to discrepancies in the data retrieval process, resulting in the error reported by the user.

To resolve the issue, the database configuration settings were updated to align with the new schema changes. Additionally, a data migration process was initiated to ensure that all existing data was properly transferred to the updated schema. After applying these changes, thorough testing was conducted in both UAT and production environments to confirm that the issue was fully resolved.

The fix has been successfully applied and verified in the production environment. Users should no longer encounter any errors related to the database module. If any further issues arise, please do not hesitate to open a new ticket for assistance. Thank you for your patience and understanding."
T050020,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Low,Internal Products Dev,Resolved,Siti,Raj,"""Network Connectivity Issue""",05-03-2025 08:26,23-05-2025 15:14,24-05-2025 04:53,07-06-2025 12:18,20 D,"After conducting a thorough analysis of the reported issue, it was determined that the root cause of the problem lay in the configuration settings of the module responsible for handling user authentication. Upon further investigation, it was found that a recent update to the configuration file had inadvertently caused a conflict with the existing code logic, resulting in the unexpected behavior encountered by the end user.

To resolve this issue, the configuration settings were reverted to their previous state, ensuring that the module was able to function properly without any conflicts. Additionally, a code review was conducted to identify and correct any other potential areas of concern that could lead to similar issues in the future. The changes were tested in both UAT and PROD environments, and the fix was successfully applied and verified in PROD.

In conclusion, the reported issue has been resolved with the necessary adjustments made to the configuration settings and code logic. The fix has been deployed to the production environment and has been confirmed to be functioning as expected. Thank you for bringing this matter to our attention. Fix applied and verified in PROD."
T050023,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Medium,Demo Fix,On Hold,Anand,Chong,The user reported that they were unable to access their grades on the LMS due to a technical error.,02-03-2025 17:05,25-05-2025 05:57,23-05-2025 17:04,12-06-2025 12:18,30 D,"Upon conducting a thorough investigation, it was identified that the root cause of the issue was a misconfiguration in the authentication module of the system. This misconfiguration was causing the system to reject valid user credentials, leading to login failures for multiple users. 

To resolve this issue, we reviewed and corrected the configuration settings in the authentication module to ensure that it accurately validates user credentials against the database. Additionally, we conducted rigorous testing in both the UAT and PROD environments to verify that the fix was successful and that users are now able to log in without any further issues.

The resolution steps taken also included updating the relevant documentation to ensure that this issue can be avoided in the future. Moving forward, we will continue to monitor the system closely to prevent any similar incidents from occurring again. 

Fix applied and verified in PROD. Thank you for your patience."
T050024,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 2,Medium,Query,New,Chong,Anand,Network connectivity problems causing disruptions in productivity and communication.,11-04-2025 17:10,19-05-2025 02:48,24-05-2025 20:02,05-06-2025 12:18,20 D,"After investigating the issue with the module configuration in the production environment, it was determined that the root cause of the error was due to an incorrect setting in the database connection string. The configuration parameter for the database server address was entered incorrectly, causing the application to fail when attempting to establish a connection. 

To resolve the issue, the database connection string was updated with the correct server address and the application was restarted in the production environment. This change was tested in the user acceptance testing (UAT) environment and verified to be functioning correctly. 

Furthermore, a code review was conducted to ensure that the connection string configuration is properly managed in the code logic to prevent similar issues from occurring in the future. The fix has been applied and verified in the production environment, and the ticket can now be closed. Thank you for your attention to this matter."
